#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 2900
numEdges = 16528
usedAlgorithm = NULL
dataSource = GraphMLDataset
numOfFeatures = 115
truth_features = 
END
#################################################################
SECTION2 (Nodes Information)
NodeID att0 att1 att2 att3 att4 att5 att6 att7 att8 att9 att10 att11 att12 att13 att14 att15 att16 att17 att18 att19 att20 att21 att22 att23 att24 att25 att26 att27 att28 att29 att30 att31 att32 att33 att34 att35 att36 att37 att38 att39 att40 att41 att42 att43 att44 att45 att46 att47 att48 att49 att50 att51 att52 att53 att54 att55 att56 att57 att58 att59 att60 att61 att62 att63 att64 att65 att66 att67 att68 att69 att70 att71 att72 att73 att74 att75 att76 att77 att78 att79 att80 att81 att82 att83 att84 att85 att86 att87 att88 att89 att90 att91 att92 att93 att94 att95 att96 att97 att98 att99 att100 att101 att102 att103 att104 att105 att106 att107 att108 att109 att110 att111 att112 att113 att114
0 2.000000 0.383237 0.566330 0.530643 0.511307 0.747222 0.390530 0.427372 0.393430 0.536896 0.362457 0.417232 0.310239 0.280023 0.414797 0.535574 0.351948 0.470086 0.479777 0.614857 0.498397 0.281284 0.231924 0.442330 0.522244 0.643615 0.587801 0.629820 0.570185 0.566834 0.612054 0.462407 0.757126 0.516246 0.718736 0.676560 0.558719 0.781013 0.768326 0.092263 0.410306 0.555211 0.468421 0.106161 0.328417 0.673200 0.391054 0.668852 0.372171 0.009022 0.587402 0.491522 0.726282 0.435507 0.220386 0.410561 0.253646 0.497861 0.480361 0.269928 0.610448 0.432879 0.622434 0.784672 0.628994 0.589964 0.425749 0.564030 0.468421 0.508765 0.877760 0.523476 0.517368 0.658609 0.568292 0.091917 0.600275 0.550872 0.979418 0.935484 0.525146 0.672239 0.781087 0.444660 0.514356 0.405128 0.657645 0.169006 0.672283 0.472021 0.671160 0.582404 0.525845 0.469853 0.159203 0.200896 0.346536 0.306289 0.171290 0.322185 0.573407 0.512990 0.430385 0.534125 1.088734 -0.046576 0.490034 0.260599 0.150000 0.485500 0.158150 0.154789 0.609208 1.041775 0.716370 0.664238
1 3.000000 0.344894 0.182660 0.368266 0.275377 0.250617 -0.207576 0.431204 0.313363 0.507249 0.401351 0.312994 0.314903 0.199533 0.490095 0.445447 0.332597 0.448637 0.266501 0.060762 0.780769 0.762202 0.644397 0.485227 0.558517 0.370727 0.611950 0.695420 0.415648 0.351256 0.690260 0.731111 0.754907 0.575350 0.701416 0.593795 0.295730 0.354114 0.049321 0.042774 -0.012813 0.235798 0.421053 0.177725 0.407914 0.537600 0.806709 0.583197 0.404139 0.189805 0.509055 0.523514 0.377244 0.225604 0.396970 0.563760 0.635687 0.562500 0.803386 0.535084 0.698081 -0.068722 0.960063 0.656627 0.803846 0.830466 0.570845 0.424859 0.524671 0.353785 0.765696 0.472195 -0.440000 0.942961 0.871827 1.426822 0.606061 0.400000 0.141147 -0.543952 0.640437 0.851642 1.036643 0.318770 0.766756 0.636958 0.880151 0.912281 0.882106 0.378982 0.798014 0.429900 0.270356 0.455334 0.146110 0.507692 0.851759 0.511006 0.455484 1.371726 0.571132 0.933814 1.446154 0.845532 1.624939 -0.853782 1.242352 1.456481 0.724020 0.555750 1.541850 0.102974 0.126680 0.176682 0.175470 0.166237
2 4.000000 0.345857 0.240741 0.365540 0.389698 0.437346 0.192045 0.454015 0.367372 0.548606 0.533788 0.413277 0.371217 0.260864 0.457279 0.463745 0.333247 0.480560 0.335360 0.147429 0.878526 0.823670 0.677167 0.506534 0.640135 0.438507 0.634772 0.661069 0.460556 0.378894 0.743780 0.830185 0.748481 0.456303 0.728105 0.896687 0.575089 0.004430 -0.631674 0.040584 0.074930 -0.198054 1.241627 -0.066351 0.384532 0.635600 0.843450 0.224590 0.670540 0.104593 0.522835 0.781622 0.487821 0.255797 0.368044 0.638692 0.777100 0.658451 0.860948 0.557757 0.716205 0.074449 1.181761 0.786861 0.891124 0.620789 0.437958 0.214878 0.161184 0.180478 0.533596 0.484241 -0.411053 1.000000 0.992639 1.540275 0.516529 0.288081 -0.594540 -0.457258 0.541658 0.677015 0.801418 0.352751 0.321473 -0.121795 0.698549 0.973684 0.800543 0.451623 0.669139 0.211127 0.133992 0.356127 0.179317 0.451603 0.738693 0.569182 0.715161 1.451927 0.663373 0.757526 1.459615 0.583383 1.053573 -0.857727 0.925425 0.682521 0.255882 0.797000 0.381057 0.414520 0.295718 0.297294 0.243145 0.540055
3 5.000000 0.285742 0.396970 0.499455 -0.409799 0.140432 -0.004420 0.205474 0.443987 0.441627 0.357745 0.217797 0.163936 0.300487 0.745823 0.479745 0.430390 0.440961 0.444293 0.342263 1.025321 0.834312 0.905074 0.474716 0.809619 0.477407 0.519754 0.114504 0.385370 0.609045 0.515043 0.518704 0.919977 0.878711 0.909804 0.950015 0.809253 0.399367 0.229738 -0.127591 0.311142 -0.058538 1.015789 0.932701 0.739729 -1.257200 1.309265 0.154098 -0.028811 0.032227 0.475516 0.383784 0.211538 -0.051449 0.119559 0.011444 0.408079 0.573592 0.808578 1.488067 1.272281 -0.137885 1.533333 1.767883 0.940705 0.652330 0.772513 0.301130 0.025658 0.550199 0.087213 0.242637 -0.238421 1.300485 1.001290 1.126615 1.152342 0.636337 -1.052051 0.279839 0.538120 0.255522 0.120095 0.491262 0.772429 -0.090385 1.202097 0.914035 1.228804 1.650417 1.107819 0.053100 0.424668 0.473261 0.512903 1.120833 1.531658 0.817113 0.735597 2.324743 0.831476 0.410722 0.958846 0.386944 1.278771 1.381674 1.628346 1.340877 -0.279412 0.777148 -0.104405 1.259302 -0.574500 -1.501002 -1.362012 0.868907
4 6.000000 0.819653 0.481313 0.501745 0.605528 0.633514 0.526696 0.436130 0.426281 0.649814 0.513197 0.486441 0.331286 0.385748 0.570525 0.545362 0.308442 0.520660 0.351365 0.332291 0.628205 0.671193 0.545877 0.571591 0.581363 0.414735 0.557510 0.648964 0.578981 0.348241 0.674645 0.791111 0.725000 0.549743 0.704031 0.666421 0.781139 0.523101 0.268326 0.329489 0.801671 0.351319 0.394258 0.639088 0.380576 0.415200 0.584345 0.207787 0.484651 0.120967 1.105118 0.151622 0.359295 0.154106 0.389807 0.665668 0.637483 0.594894 0.829120 0.357041 0.600853 0.607048 0.506358 0.224453 0.272485 0.649104 0.539791 0.499075 0.723355 0.630279 0.931682 0.580263 0.583158 0.577427 0.631788 0.870707 0.315152 0.505814 0.254963 -0.235887 0.505980 0.297612 0.552955 0.504531 0.190711 -0.003526 0.701723 0.359064 -0.145652 0.405548 0.542285 0.338143 -0.388142 0.172059 0.114611 0.313462 0.466834 0.363352 0.320766 0.964633 0.612577 0.769691 0.928462 0.416914 0.680616 0.546041 0.531562 0.518586 0.483941 0.503612 0.019383 0.420423 0.207467 0.235333 0.463215 0.311540
5 7.000000 0.431214 0.540909 0.570883 0.636683 0.708354 0.561459 0.620620 0.353229 0.551673 0.580774 0.671186 0.470535 0.295093 0.544749 0.477617 0.445894 0.570445 0.492625 0.429903 0.568590 0.611376 0.417759 0.405114 0.435872 0.574656 0.501614 0.575245 0.513770 0.524197 0.553134 0.627037 0.821262 0.666701 0.675054 0.679523 0.739858 0.660443 -0.010407 0.089197 0.435097 0.075486 0.577990 0.674408 0.545720 0.554495 0.729393 0.438934 0.555851 0.239261 0.563386 0.614865 0.594551 0.514976 0.569972 0.456948 0.791915 0.588556 0.635892 0.470167 0.414072 0.410573 0.574003 0.444891 0.489645 0.654122 0.347120 0.416949 0.287171 0.663745 0.417780 0.736515 0.295789 0.611566 0.568481 0.226138 0.360331 0.820930 -0.091727 0.814113 0.497707 0.574871 0.620095 0.690291 0.535643 0.196474 0.777185 0.051462 0.465217 0.507181 0.625170 0.293114 0.402051 0.391176 0.196964 0.116026 0.182412 0.417861 0.354296 0.872816 0.554167 0.535396 0.826154 0.424036 0.627874 -0.366132 0.533311 0.096663 0.178922 0.436601 0.536564 0.219722 0.429892 0.213575 0.170534 0.300558
6 8.000000 0.481310 0.419697 0.501091 0.498492 0.462963 0.421000 0.409837 0.414477 0.549814 0.506826 0.371334 0.442093 0.367523 0.507757 0.532936 0.389481 0.555380 0.433135 0.371338 0.658333 0.649908 0.608034 0.493182 0.556112 0.539293 0.439170 0.622137 0.505880 0.631658 0.638350 0.717778 0.721963 0.581185 0.635839 0.693604 0.860854 0.790190 0.727149 0.062920 0.485237 0.451254 0.506220 0.669668 0.335252 0.624800 0.627157 0.385656 0.340203 0.159062 0.323228 0.639189 0.456731 0.389372 0.600275 0.437875 0.567449 0.475880 0.647178 0.262530 0.601706 0.485463 0.475976 0.277007 0.288462 0.456989 0.347120 0.409416 0.507566 0.568127 0.595958 0.616057 0.353684 0.595388 0.371943 0.614572 0.288705 0.754070 0.443658 0.539919 0.480622 0.740597 0.915603 0.683819 0.309743 0.526603 0.703134 0.566082 0.410870 0.266076 0.387636 0.581979 0.425654 0.299472 0.322201 0.258744 0.303015 0.310689 0.327497 1.315308 0.516432 0.603505 0.664615 0.415134 0.586016 0.059231 0.392862 -0.066619 0.139706 0.472622 0.893392 0.311546 0.033599 -0.079676 -0.006000 0.397708
7 9.000000 0.442582 0.539459 0.490489 0.734422 0.925617 0.904924 0.633212 0.461136 0.633364 0.545392 0.622881 0.424915 0.235397 0.439618 0.547319 0.382857 0.505093 0.438586 0.436317 1.359936 0.589174 1.041226 -0.203125 0.668136 0.590435 0.469793 0.592375 0.486667 0.746734 0.609932 0.817593 0.751051 0.675350 0.762092 0.726557 0.792883 0.593769 0.468778 0.159982 0.390251 0.296887 0.539234 -0.084360 0.532734 0.800400 0.681150 0.073770 0.533195 0.162069 0.381890 0.617860 0.341026 0.698309 0.897521 0.813624 0.647808 0.753873 1.041986 0.539751 0.578038 0.225110 0.918239 0.729197 0.551479 0.556989 0.577225 0.215254 0.648684 0.332669 0.329848 0.047839 0.584737 0.362136 0.354182 -0.139605 0.343526 0.509593 0.169975 0.488028 0.421355 0.591045 0.582033 0.482848 0.322341 0.494231 0.646361 0.372515 0.100543 0.394340 -0.108154 0.152504 0.294178 0.234758 0.278368 0.342503 0.556580 0.582390 0.357742 1.591312 0.587196 0.436289 0.500148 0.103264 -0.201338 0.177542 -0.188407 -0.106460 -0.064481 0.245445 -0.287665 -0.600792 0.489971 -0.009201 -0.126813 0.570467
8 10.000000 0.405780 0.367172 0.386369 0.178894 0.928534 -0.072727 0.720476 0.724944 0.858178 0.920705 1.724294 0.332651 0.416355 0.358353 0.800000 0.906104 0.698709 0.731744 1.231429 2.205769 1.152294 1.438478 0.390341 0.671944 0.261886 0.540249 0.267503 0.369907 0.253769 0.708396 0.415556 0.840888 0.694678 0.866558 0.975237 1.372598 0.780063 0.766968 -0.013285 0.991643 1.012451 0.443062 0.460190 1.100719 0.740203 1.303834 0.225000 0.927468 0.231909 0.220079 0.708919 0.071474 -0.294686 0.558402 0.813351 0.945871 0.616373 0.924379 0.116468 0.362473 0.079295 0.557711 0.097445 0.563018 0.495699 0.194764 -0.093785 0.105592 -0.301195 0.057786 0.091510 -0.010526 0.065777 -0.040799 -0.336130 -0.403306 0.672093 -0.084988 -0.561694 0.704126 0.562308 -0.075414 0.323948 -0.733739 -0.220833 0.839952 -0.598830 0.610870 0.883737 0.159198 -0.323699 0.203046 -0.239216 -0.144972 1.131410 -0.748241 1.783333 1.402581 2.265560 0.911284 0.448454 1.306154 -0.175964 -0.486393 -1.385620 -0.285015 -0.570836 -0.812255 -0.207750 -0.592070 2.317248 0.556573 0.207900 -0.372951 1.195187
9 11.000000 0.584200 0.359764 0.229989 0.393970 0.001235 0.308333 0.632299 0.895991 0.925651 0.788282 1.810734 0.367463 0.455607 0.263604 0.741787 0.945844 0.731420 1.069479 1.304952 2.172436 1.373578 1.334038 0.201705 0.428657 0.056778 0.549876 0.603519 0.474167 -0.481910 0.581485 0.468519 0.832243 0.433053 0.770261 0.585542 1.577580 0.348418 0.398643 0.114599 1.026741 0.909728 -0.056459 0.515166 1.164029 0.250400 1.344089 0.194355 0.803543 0.056808 0.750000 0.905135 0.214423 -0.327053 0.719835 1.076567 0.968794 0.499472 0.736117 -0.514558 0.269936 0.478414 -0.029874 -0.225182 0.597337 0.257706 0.293194 -0.053107 0.295066 -0.697211 -0.452478 0.089094 0.087368 0.399757 0.464631 0.027690 0.354823 0.650581 -0.217524 -0.647984 0.599746 -0.279104 -0.007801 0.516828 -1.673830 -0.664423 0.866751 -0.811696 0.364130 0.674529 -0.343161 0.064295 0.356594 -0.583333 -0.310816 1.344872 -0.076884 1.917296 1.869032 3.397233 1.142770 0.218763 1.196923 -0.307715 -0.910836 -2.217307 -0.723904 -1.122078 -0.265196 0.076250 -1.448458 2.504831 0.250495 0.035732 -0.244618 2.080523
